Name of Street,No. of House,No. of Deaths.,Whether opposite Air Shaft.,Whether opposite untrapped Gully.,Condition of Dust Bin,"Description of Drainage, whether Brick or Pipe, and condition thereof.","Whether any Cesspools, and Number.",Remarks
Poland Street,6,2.0,No,No,Good,Brick and pipe drains,Yes,"A cesspool exists, but the drains seem good."
Poland Street,9,1.0,No,Yes,Good,"Brick drains, good",Uncertain,No knowledge of cesspool being destroyed
Poland Street,11,2.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed; probably brick drain
Poland Street,14,1.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Poland Street,19,1.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Poland Street,47,3.0,No,No,Good,Not ascertainable,Yes,"Cesspool exists, and drainage bad."
Poland Street,51,3.0,No,Yes,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Poland Street,55,1.0,No,No,Good,Pipe drains,No,"Drainage good, and cesspools destroyed"
Poland Street,57,1.0,No,No,Good,Pipe drains,No,"Drainage good, and cesspools destroyed"
Poland Street,59,2.0,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Broad Street,3,5.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Broad Street,4,3.0,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
Broad Street,5,2.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Broad Street,10,1.0,No,No,Good,"Old brick drains, partly trapped",Uncertain,No knowledge of cesspool being destroyed.
Broad Street,11,1.0,No,No,Good,Pipe drains,No,Drains seem effective.
Broad Street,12,3.0,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
Broad Street,15,1.0,No,No,Good,Not ascertainable; lately repaired,Yes,-
Broad Street,16,3.0,No,No,Good,Pipe drans at time of new sewer,No,Drains seem effective.
Broad Street,17,1.0,Yes,No,Good,Pipe drains,No,Drains seem effective.
Broad Street,18,2.0,No,No,Good,"Pipe drains, 1851, good in house",Yes,"The drainage is good in house, but there is a large cesspool in shop at back."
Broad Street,19,1.0,No,No,Good,Pipe drains,No,Drains seem effective.
Broad Street,26,1.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; no knowledge of cesspool being destroyed; drains seem to be new
Broad Street,29,2.0,Yes,No,Good,-,,House shut up
Broad Street,31,2.0,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Broad Street,32,3.0,No,No,Good,Pipe drains about 4 months,No,"Water-closet defective, and bad smells"
Broad Street,33,2.0,No,No,Good,Brick drain,Uncertain,Bad smells; brick drains; no knowledge of cesspool being destroyed.
Broad Street,36,1.0,No,No,Good,Pipe drain,No,Drainage good.
Broad Street,37,3.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,38,1.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,39,3.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,40,3.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,41,1.0,No,No,Good,Pipe drains good (1 year old),No,"Drainage good, but soil from top of house discharged on paving of yard."
Broad Street,42,1.0,No,Yes,Good,Old brick drains defective,Uncertain,No knowledge of cesspool being destroyed.
Broad Street,43,1.0,Yes,Yes,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,44,2.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,45,3.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,52,1.0,No,No,Good,Old brick drains defective,Yes,"Offensive cesspool, and bad drains."
Broad Street,53,1.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Broad Street,54,1.0,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Dufour's Place,1,1.0,No,No,Good,"Pipe drains, 1851",No,Drainage efficient.
Dufour's Place,7,2.0,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed; Bad smell at times.
Marshall Street,1,1.0,No,No,Good,"Brick drain, old and bad",Uncertain,No knowledge of cesspool being destroyed.
Marshall Street,2,1.0,No,No,Good,Pipe drains,Uncertain,Drainage effective.
Marshall Street,3,1.0,No,No,Good,Not ascertainable,No,Drainage good.
Marshall Street,5,1.0,No,No,Good,"Pipe drains, 6 months",No,Drainage effective.
Marshall Street,7,4.0,No,No,Good,Not ascertainable,Yes,"An offensive cesspool, and probably old brick drains"
Marshall Street,8,1.0,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
Marshall Street,9,1.0,No,No,Good,Brick drains,No,Brick drain appears in good condition.
Marshall Street,10,2.0,Yes,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed; Drain said to be good
Marshall Street,11,2.0,No,No,Good,Pipe drains to water-closet,Uncertain,No knowledge of cesspool being destroyed.
Marshall Street,13,4.0,No,No,Good,Not ascertainable; lately repaired,Uncertain,Most probably brick drain; No knowledge of cesspool being destroyed.
