"Result of an Examination into the State of Drainage of the Houses situate in the following Streets, in the Parish of St. James, Westminster, where so many Deaths from Cholera have taken place, as set forth in the Registrar-General's Returns for the Two Weeks ending the 2nd and 9th instant, but which does not include the Deaths that have taken place after removal from the Houses to the Hospitals, or those which occurred at the Workhouse.",,,,,,,,
Name of Street,No. of House,No. of Deaths.,Whether opposite Air Shaft.,Whether opposite untrapped Gully.,Condition of Dust Bin,"Description of Drainage, whether Brick or Pipe, and condition thereof.","Whether any Cesspools, and Number.",Remarks
Poland Street,6,2,No,No,Good,Brick and pipe drains,"Yes, 1","A cesspool exists, but the drains seem good."
,9,1,No,Yes,Good,"Brick drains, good",Uncertain,No knowledge of cesspool being destroyed
,11,2,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed; probably brick drain
,14,1,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,19,1,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,47,3,No,No,Good,Not ascertainable,"Yes, 1","Cesspool exists, and drainage bad."
,51,3,No,Yes,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,55,1,No,No,Good,Pipe drains,No,"Drainage good, and cesspools destroyed"
,57,1,No,No,Good,Pipe drains,No,"Drainage good, and cesspools destroyed"
,59,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Broad Street,3,5,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,4,3,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
,5,2,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,10,1,No,No,Good,"Old brick drains, partly trapped",Uncertain,No knowledge of cesspool being destroyed.
,11,1,No,No,Good,Pipe drains,No,Drains seem effective.
,12,3,No,No,Good,Not ascertainable,Uncertain,No knowledge of cesspool being destroyed.
,15,1,No,No,Good,Not ascertainable; lately repaired,"Yes, 1",-
,16,3,No,No,Good,Pipe drans at time of new sewer,No,Drains seem effective.
,17,1,Yes,No,Good,Pipe drains,No,Drains seem effective.
,18,2,No,No,Good,"Pipe drains, 1851, good in house",1 in workshop,"The drainage is good in house, but there is a large cesspool in shop at back."
,19,1,No,No,Good,Pipe drains,No,Drains seem effective.
,26,1,No,No,Good,Not ascertainable,Uncertain,Probably brick; no knowledge of cesspool being destroyed; drains seem to be new
,29,2,Yes,No,Good,-,-,House shut up
,31,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,32,3,No,No,Good,Pipe drains about 4 months,No,"Water-closet defective, and bad smells"
,33,2,No,No,Good,Brick drain,Uncertain,Bad smells; brick drains; no knowledge of cesspool being destroyed.
,36,1,No,No,Good,Pipe drain,No,Drainage good.
,37,3,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,38,1,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,39,3,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,40,3,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,41,1,No,No,Good,Pipe drains good (1 year old),No,"Drainage good, but soil from top of house discharged on paving of yard."
,42,1,No,Yes,Good,Old brick drains defective,Uncertain,No knowledge of cesspool being destroyed.
,43,1,Yes,Yes,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,44,2,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,45,3,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,52,1,No,No,Good,Old brick drains defective,"Yes, 1","Offensive cesspool, and bad drains."
,53,1,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
,54,1,No,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed.
Dufour's Place,1,1,No,No,Good,"Pipe drains, 1851",No,Drainage efficient.
,7,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed; Bad smell at times.
Marshall Street,1,1,No,No,Good,"Brick drain, old and bad",Uncertain,No knowledge of cesspool being destroyed.
,2,1,No,No,Good,Pipe drains,Uncertain,Drainage effective.
,3,1,No,No,Good,Not ascertainable,No,Drainage good.
,5,1,No,No,Good,"Pipe drains, 6 months",No,Drainage effective.
,7,4,No,No,Good,Not ascertainable,"Yes, 1","An offensive cesspool, and probably old brick drains"
,8,1,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
,9,1,No,No,Good,Brick drains,No,Brick drain appears in good condition.
,10,2,Yes,No,Good,Not ascertainable,Uncertain,Probably brick; No knowledge of cesspool being destroyed; Drain said to be good
,11,2,No,No,Good,Pipe drains to water-closet,Uncertain,No knowledge of cesspool being destroyed.
,13,4,No,No,Good,Not ascertainable; lately repaired,Uncertain,Most probably brick drain; No knowledge of cesspool being destroyed.
,22,1,No,No,Good,Brick drains good,Uncertain,No knowledge of cesspool being destroyed.
,34,2,No,No,Good,Pipe drains,No,Drainage effective.
,39,2,Yes,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,42,1,No,No,Good,Brick drains,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,43,4,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,44,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,53,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains.
Berwick Street,4,1,No,Yes,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,5,2,No,Yes,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,6,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,9,1,-,,-,-,-,Refused admittance.
,10,2,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
,12,1,No,No,Good,-,Uncertain,Refused admittance.
,13,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drain; No knowledge of cesspool being destroyed.
,17,1,No,Yes,Good,"Pipe drains, 1849",No,Drainage effective.
,23,2,No,Yes,Good,"Pipe drains, 1849",No,Drainage effective.
,28,1,No,No,Good,"Pipe drains, 1849",No,Drainage effective.
,32,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,33,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,35,1,No,No,Good,"Pipe drains, 2 years old",No,Supposed to be effective.
,49,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,71,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,77,1,No,No,Good,"Pipe drains, 1848",No,Drainage appeared to be good.
,78,2,No,No,Good,Not ascertainable,"Yes, 1",Cesspool and drains bad and offensive.
,81,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,83,1,No,No,Good,"Pipe drains, 1 year",No,Drainage appeared to be good.
,85,3,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,89,1,No,Yes,Good,Pipe drains,No,Drainage appeared to be effective.
,92,3,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Peter Street,13,1,No,No,Good,Not ascertainable,"Yes, 1",Cesspool on premises and drains bad.
,21,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,22,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,23,5,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,23a,,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,32,2,No,No,Good,Not ascertainable,"Yes, 1",Probably old brick drains; a privy with a pan; bad smells
Green's Court,4,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,7,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,9,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
George Place,4,1,No,No,Good,Brick drains,"Yes, 1",An offensive joint cesspool and old brick drains.
Great Crown Court,9,1,No,No,Good,"Pipe drains, 1854",No,Drainage effective.
Queen's Head Court,6,1,No,No,Good,Brick and pipe drains,No,Drainage effective.
Great Pulteney Street,5,2,No,No,Good,Pipe drains,No,Drainage effective.
,6,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,7,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,10,1,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
,11,2,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,13,1,No,No,Good,Brick drains,Uncertain,No knowledge of cesspool being destroyed.
,17,1,No,No,Good,"Pipe drains, 2 years old",No,Drainage effective.
,22,1,No,No,Good,Pipe drains and brick drains,Uncertain,Drainage appeared to be in good condition; no knowledge of cesspool being destroyed.
,25,1,No,No,Good,Brick drains,No,Old brick drains.
,26,1,No,No,Good,Brick drains,Uncertain,Old brick drains and properly trapped; no knowledge of cesspool being destroyed.
,28,1,No,No,Good,Brick drains,Uncertain,Old brick drains; no knowledge of cesspool being destroyed.
,36,4,No,No,Good,-,-,House shut up.
Noel Street,14,3,No,No,Good,Brick drains,"Yes, 1",Old brick drains defective; also cesspool.
,19,1,No,No,Good,"Brick and pipe drains, 2 years ago",Uncertain,Drainage effective under house; no knowledge of cesspools being destroyed.
Portland Street,10,1,No,No,Good,Not ascertainable,Uncertain,-
,12,2,No,No,Good,Brick drains,Uncertain,Old brick drains; no knowledge of cesspool being destroyed.
,26,1,No,No,Good,Brick drains,Uncertain,Old brick drains; no knowledge of cesspool being destroyed.
,27,1,No,No,Good,"Brick drains, repaired lately",Uncertain,Old brick drains; no knowledge of cesspool being destroyed.
,28,1,No,No,Good,"Pipe drains, 2 years old",No,Drainage effective.
,32,1,No,No,Good,-,-,House shut up
Portland Mews,10,2,No,No,Good,Old brick drain,"Yes, 1","Dilapidated old drains, cesspools; and smells very bad."
Great Marlboro' Street,5,2,No,Yes,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
,7,3,No,No,Good,"Pipe drains, 3 to 4 years old","Yes, 1","Pipe drain under house; cesspool in yard, connected with brick drain."
,32,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Tyler Street,8,2,No,No,Good,Brick drains,No,Old brick drains.
,15,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; bad smell; No knowledge of cesspool being destroyed.
King Street,21,1,Near,No,Good,Not ascertainable,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Cross Street,4,1,Yes,No,Good,Brick drains very bad,Uncertain,No knowledge of cesspool being destroyed.
,10,4,Yes,No,Good,Brick drains defective,No,Bad smells
,13,1,No,No,Good,"Pipe drain, within 2 years",No,Drainage effective.
Cross Court,1,1,No,No,Good,Brick drain,Uncertain,Old brick drains; no knowledge of cesspool being destroyed.
,3,1,No,No,Good,Uncertain,Uncertain,Probably old brick drains; No knowledge of cesspool being destroyed.
Marlboro' Row,1,4,No,No,Good,Not ascertainable; in good order,Uncertain,Probably brick drains; no knowledge of cesspools being destroyed
,2,1,No,No,Good,Not ascertainable; in good order,Uncertain,Probably brick drains; no knowledge of cesspools being destroyed
,3,3,No,No,Good,Not ascertainable; in good order,Uncertain,Probably brick drains; no knowledge of cesspools being destroyed
,9,1,No,No,Good,Not ascertainable; in good order,Uncertain,Probably brick drains; bad smells; no knowledge of cesspool being destroyed
South Row,2,2,No,No,Good,Pipe drains,No,Drainage effective
,3,1,No,No,Good,Old brick drains,Uncertain,No knowledge of cesspool being destroyed.
,5,2,No,No,Good,Old brick drains,Uncertain,No knowledge of cesspool being destroyed.
,6,2,Yes,No,Good,"Pipe drains, 6 months old",No,Drainage effective
,7,2,Near,No,Good,"Pipe drains, 6 months old",No,Drainage effective
West Street,2,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,9,6,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,12.5,1,No,No,Good,Alteration made at time of new sewer,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
Carnaby Street,1,4,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,3,1,No,No,Good,Old brick drains,Uncertain,No knowledge of cesspool being destroyed.
,12,1,No,No,Good,Pipe drains within 3 months,No,Drainage effective
,29,1,No,No,Good,Pipe drains within 2 years,No,Drainage effective.
,25,2,No,No,Good,Brick drains lately repaired,No,Drainage appeared in good order.
,31,1,Yes,Yes,Good,Pipe drains when new sewer was made,No,Drainage effective.
,35,1,Yes,No,Good,"Brick and pipe, lately repaired",No,Drainage effective.
,40,1,Yes,No,Good,Brick drains,No,Drainage appeared in good order.
,47,1,Yes,No,Good,Brick drains; old and defective,Uncertain,No knowledge of cesspool being destroyed; bad smells
,55,1,Yes,No,Good,"Pipe drains, lately",No,Drainage effective.
,57,1,Yes,No,Good,"Pipe drains, lately",No,Drainage effective.
Edward Street,3,1,Yes,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,6,1,Yes,No,Good,"Brick drain, old and defective",Uncertain,No knowledge of cesspool being destroyed; bad smells
,10,1,No,No,Good,"Pipe drain, 1 year old",No,Drainage effective.
Bentinck Street,2,1,No,Near,Good,"Pipe drains, 3 years ago",No,Drainage effective.
,5,1,No,Near,Good,"Old brick drains, good",1 in common to 3 houses,Probably old brick drains; no knowledge of cesspools being destroyed.
,8,1,No,Near,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,9,2,No,Near,Good,Not ascertainable; repaired lately,"Yes, 1",Probably old brick drains; no knowledge of cesspools being destroyed; bad smell
,11,4,No,Near,Good,Old brick drains,"Yes, 1","Defective drain, with cesspool."
